id,property_id,name,description,street_address,property_code,floor_count,primary_image_url,created_at,updated_at,stats_cache
4144640f-ca40-447e-adaf-65a1b5f40378,4446f2bc-a493-49e7-a675-70a6c8e7f527,458 N. Twin Oaks Valley,"8 units of 2x2: 950 SF, Unit numbers: 458-A to 458-H.",458 N. Twin Oaks Valley Rd.,WO,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x2"",""name"":""2x2"",""count"":8}]}"
41d89bc8-1954-417d-a6aa-fef88f295ff8,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 23,"Building 23; 2 floors, 16 units: 8 units of 2x2: 1093 SF; 8 units of 1x1: 796 SF, units: 1153-1160, 2153-2160",575 W. Pecos Road,SB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A2R 1x1"",""name"":""Tranquility"",""count"":8},{""code"":""B2R 2x2"",""name"":""Rejuvenate"",""count"":8}]}"
4552d69a-1723-4f73-ad9b-943ae9edfc83,4446f2bc-a493-49e7-a675-70a6c8e7f527,470 N. Twin Oaks Valley,"4 units of 2x2: 950 SF, Unit numbers: 470-A to 470-D.",470 N. Twin Oaks Valley Rd.,WO,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x2"",""name"":""2x2"",""count"":4}]}"
475e1091-ab50-4f46-bb44-48d7ac01cc19,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 3,"Building 3; 2 floors, 16 units: 8 units of 2x2: 1093 SF; 8 units of 1x1: 796 SF, units: 1017-1024, 2017-2024",575 W. Pecos Road,SB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""B2R 2x2"",""name"":""Rejuvenate"",""count"":8},{""code"":""A2R 1x1"",""name"":""Tranquility"",""count"":8}]}"
47e8faac-651c-40b9-907b-94ec0b10e696,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,555 W. San Ysidro,"16 units of 2x2: 852 SF, Unit numbers: S081 to S096.",555 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x2"",""name"":""2x2"",""count"":16}]}"
4a2f5eaf-aa2d-4674-b773-472954c25b44,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,543 W. San Ysidro,"16 units of 1x1: 637 SF, Unit numbers: S065 to S080.",543 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""1x1"",""name"":""1x1"",""count"":16}]}"
52c0e2e7-df80-4ba7-8d7c-54975281a96b,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 22,"Building 22; 3 floors, 24 units: 12 units of 2x1: 970 SF; 12 units of 1x1: 796 SF, units: 1145-1152, 2145-2152, 3145-3152",575 W. Pecos Road,SB,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A2R 1x1"",""name"":""Tranquility"",""count"":12},{""code"":""B4R 2x1"",""name"":""Lustrous"",""count"":12}]}"
540668d7-75c0-4a5e-a84c-99dba77dc720,69233516-ae3c-4946-ae19-07813b8fe0b8,Building 2 Front West,"Building 2; Front West, 6 carports, units: 001-021; closed to pool and office",4225 E McDowell Rd.,RS,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A3 1x1"",""name"":""Canyon"",""count"":12},{""code"":""B2 2x2"",""name"":""Ironwood"",""count"":12},{""code"":""B1 2x2"",""name"":""Cholla"",""count"":10},{""code"":""A2 1x1"",""name"":""Guadalupe"",""count"":7},{""code"":""A5 1x1"",""name"":""Sonara"",""count"":6},{""code"":""A4 1x1"",""name"":""Saguaro"",""count"":4},{""code"":""A1 1x1"",""name"":""Mesquite"",""count"":3},{""code"":""C1 3x2"",""name"":""Palo Verde"",""count"":3}]}"
56a1778e-6229-40d9-979f-473bb0102dd7,4446f2bc-a493-49e7-a675-70a6c8e7f527,450 N. Twin Oaks Valley,"8 units of 2x2: 950 SF, Unit numbers: 450-A to 450-H.",450 N. Twin Oaks Valley Rd.,WO,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x2"",""name"":""2x2"",""count"":8}]}"
5703511f-0b88-44fc-8788-ec88952a41b1,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,549 W. San Ysidro,"16 units of 3x2: 1000 SF, Unit numbers: S049 to S064 plus a storage room.",549 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""3x2"",""name"":""3x2"",""count"":16}]}"
